maze_id,algorithm,heuristic,path_found,time_s,nodes_visited,nodes_generated,max_frontier_size,path_cost,path_length
1,DFS,-,True,0.0,8,-,-,-,7
1,BFS,-,True,0.0,13,-,-,-,7
1,A*,manhattan,True,5.119992420077324e-05,12,13,2,7.0,7
1,A*,euclidean,True,4.099996294826269e-05,12,13,2,7.0,7
1,A*,chebyshev,True,3.3100019209086895e-05,12,13,3,7.0,7
2,DFS,-,True,0.0,9,-,-,-,8
2,BFS,-,True,0.0,13,-,-,-,8
2,A*,manhattan,True,2.7799978852272034e-05,10,11,2,8.0,8
2,A*,euclidean,True,2.589996438473463e-05,10,11,2,8.0,8
2,A*,chebyshev,True,2.580008003860712e-05,10,11,2,8.0,8
3,DFS,-,False,0.0,19,-,-,-,
3,BFS,-,False,0.0,19,-,-,-,
3,A*,manhattan,False,4.810001701116562e-05,19,19,2,,
3,A*,euclidean,False,4.539999645203352e-05,19,19,2,,
3,A*,chebyshev,False,4.4199987314641476e-05,19,19,2,,
4,DFS,-,True,0.0,12,-,-,-,11
4,BFS,-,True,0.0,20,-,-,-,11
4,A*,manhattan,True,3.460003063082695e-05,13,15,3,11.0,11
4,A*,euclidean,True,3.639992792159319e-05,14,16,3,11.0,11
4,A*,chebyshev,True,4.170008469372988e-05,14,16,3,11.0,11
5,DFS,-,True,0.0,9,-,-,-,8
5,BFS,-,True,0.0,9,-,-,-,8
5,A*,manhattan,True,1.9200029782950878e-05,9,9,1,8.0,8
5,A*,euclidean,True,1.8400023691356182e-05,9,9,1,8.0,8
5,A*,chebyshev,True,1.8000020645558834e-05,9,9,1,8.0,8
6,DFS,-,True,0.0,8,-,-,-,7
6,BFS,-,True,0.0,12,-,-,-,7
6,A*,manhattan,True,2.0600040443241596e-05,8,10,3,7.0,7
6,A*,euclidean,True,2.0099920220673084e-05,8,10,3,7.0,7
6,A*,chebyshev,True,1.9300030544400215e-05,8,10,3,7.0,7
7,DFS,-,True,0.0,8,-,-,-,7
7,BFS,-,True,0.0,9,-,-,-,7
7,A*,manhattan,True,2.1799933165311813e-05,9,9,2,7.0,7
7,A*,euclidean,True,2.7099973522126675e-05,9,9,2,7.0,7
7,A*,chebyshev,True,7.449998520314693e-05,9,9,2,7.0,7
8,DFS,-,False,0.0,11,-,-,-,
8,BFS,-,False,0.0,11,-,-,-,
8,A*,manhattan,False,7.119996007531881e-05,11,11,1,,
8,A*,euclidean,False,6.400002166628838e-05,11,11,1,,
8,A*,chebyshev,False,6.059999577701092e-05,11,11,1,,
9,DFS,-,True,0.0,40,-,-,-,26
9,BFS,-,True,0.0010020732879638672,41,-,-,-,26
9,A*,manhattan,True,0.00018670002464205027,41,41,4,26.0,26
9,A*,euclidean,True,9.8800053820014e-05,41,41,4,26.0,26
9,A*,chebyshev,True,0.00010659999679774046,41,41,4,26.0,26
